productId,name,shortDescription,description,price,imageUrl,category,style,rating,stock,colors,materials,dimensions
prod_1,"IKEA HEMNES Lit 2","Lit double HEMNES classique et robuste.","Un lit double HEMNES classique et robuste d'IKEA, avec une tête de lit haute. Parfait pour un style intemporel et une chambre accueillante.",329,https://cdn.3dmodels.org/wp-content/uploads/Furniture/IKEA/020_IKEA_HEMNES_bed_2/IKEA_HEMNES_bed_2_1000_0001-551x551.webp,Lits,Classique,4.4,45,Blanc|Noir-brun,Pin massif|Acrylique,170cm L x 211cm P x 120cm H (couchage 160x200)
prod_2,"IKEA Malm Lit","Lit IKEA Malm au design épuré.","Lit IKEA Malm avec un design épuré et des lignes droites. Offre des rangements optionnels sous le lit pour optimiser l'espace.",279,https://cdn.3dmodels.org/wp-content/uploads/Furniture/IKEA/081_IKEA_Malm_Bed/IKEA_Malm_Bed_1000_0001-551x551.webp,Lits,Minimaliste,4.2,50,Blanc|Plaqué chêne blanchi|Noir-brun,Panneau de particules|Fibre de bois,176cm L x 209cm P x 100cm H (couchage 160x200)
prod_3,"Roche Bobois Bubble Lit","Lit Bubble Roche Bobois, design audacieux.","Le lit Bubble de Roche Bobois, un design audacieux et confortable avec ses formes organiques et son revêtement en tissu Techno 3D. Une pièce maîtresse.",4500,https://cdn.3dmodels.org/wp-content/uploads/Furniture/Roche-Bobois/026_Roche-Bobois_Bubble_Bed/Roche-Bobois_Bubble_Bed_1000_0001-551x551.webp,Lits,Moderne,4.9,10,Rose Poudré|Gris Perle|Jaune Safran,Tissu Techno 3D|Mousse HR|Structure bois,Taille Queen, approx. 180cm L x 220cm P x 90cm H
prod_4,"Natuzzi Fenice Lit","Lit Fenice Natuzzi Italia, élégance et confort.","Lit Fenice de Natuzzi Italia, alliant élégance et confort avec une tête de lit capitonnée et des finitions soignées. Luxe italien.",3800,https://cdn.3dmodels.org/wp-content/uploads/Furniture/Natuzzi/001_Natuzzi_Fenice_Bed/Natuzzi_Fenice_Bed_1000_0001-551x551.webp,Lits,Contemporain,4.8,12,Cuir Beige Clair|Tissu Gris Foncé,Cuir véritable|Tissu de haute qualité|Bois massif,Taille King, approx. 200cm L x 225cm P x 110cm H
prod_5,"IKEA HEMNES Lit","Structure de lit HEMNES simple et élégante.","Structure de lit HEMNES d'IKEA, simple et élégante, en pin massif. Un classique intemporel pour une chambre cosy et chaleureuse.",249,https://cdn.3dmodels.org/wp-content/uploads/Furniture/IKEA/019_IKEA_HEMNES_bed/IKEA_HEMNES_bed_1000_0001-551x551.webp,Lits,Classique,4.3,60,Blanc|Noir-brun|Gris Clair,Pin massif teinté,150cm L x 211cm P x 120cm H (couchage 140x200)
prod_6,"Minotti Andersen Quilt Lit","Lit Andersen Quilt Minotti, design sophistiqué.","Lit Andersen Quilt par Minotti, caractérisé par une tête de lit matelassée raffinée et un design sophistiqué. Confort et élégance suprêmes.",5200,https://cdn.3dmodels.org/wp-content/uploads/Furniture/Minotti/007_Minotti_Andersen_Quilt_Bed/Minotti_Andersen_Quilt_Bed_1000_0001-551x551.webp,Lits,Contemporain,4.9,7,Tissu Taupe Chiné|Velours Bleu Profond|Cuir Naturel,Tissu haut de gamme|Structure métallique|Bois rembourré,Taille King, approx. 210cm L x 230cm P x 105cm H
prod_7,"Lit en métal vintage victorien","Charmant lit en métal style victorien.","Un charmant lit en métal de style victorien, avec des détails ornementaux. Idéal pour une ambiance romantique et rétro, pour une personne.",450,https://cdn.3dmodels.org/wp-content/uploads/Furniture/Generic/172_Generic_Victorian_Vintage_Twin_Size_Metal_Bed/Generic_Victorian_Vintage_Twin_Size_Metal_Bed_1000_0001-551x551.webp,Lits,Vintage,4.6,25,Noir Antique Mat|Blanc Crème Brillant,Métal forgé, finition poudrée,100cm L x 200cm P x 115cm H (couchage 90x190)
prod_8,"Savio Firmino 3058 Lit","Lit Savio Firmino, artisanat florentin luxueux.","Lit 3058 de Savio Firmino, une pièce d'exception avec des sculptures faites à la main et des finitions luxueuses. Un chef-d'œuvre de l'artisanat florentin.",8900,https://cdn.3dmodels.org/wp-content/uploads/Furniture/Savio-Firmino/006_Savio-Firmino_3058_Bed/Savio-Firmino_3058_Bed_1000_0001-551x551.webp,Lits,Classique,5,5,Bois Naturel Finition Or vieilli|Laqué Blanc Perle avec détails argentés,Bois précieux sculpté à la main|Feuille d'or ou d'argent|Tissus nobles,Taille King/Super King, dimensions sur mesure disponibles
prod_9,"Roche Bobois Bubble Grand canapé","Canapé Bubble Roche Bobois, design iconique.","Un design iconique et ludique, offrant un confort enveloppant avec ses formes arrondies. Parfait pour un intérieur contemporain et audacieux. Un véritable appel à la détente.",3499.99,https://cdn.3dmodels.org/wp-content/uploads/Furniture/Roche-Bobois/003_Roche-Bobois_Bubble_Large_Sofa/Roche-Bobois_Bubble_Large_Sofa_1000_0001-551x551.webp,Canapés,Moderne,4.8,15,Rose Poudré|Gris Perle|Bleu Canard,Tissu Techno 3D|Mousse HR,248cm L x 132cm P x 77cm H
prod_10,"Chesterfield Canapé","Canapé Chesterfield, élégance intemporelle.","L'élégance intemporelle du style Chesterfield, avec son capitonnage profond caractéristique et ses accoudoirs enroulés. Une pièce de caractère en cuir véritable.",2190,https://cdn.3dmodels.org/wp-content/uploads/Tools/340_Chesterfield_Sofa/Chesterfield_Sofa_600_lq_0001-551x551.webp,Canapés,Classique,4.7,22,Marron Chocolat|Vert Anglais|Bordeaux,Cuir Pleine Fleur|Bois Massif,215cm L x 95cm P x 78cm H
